epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.492,1.39448,2.5158,1.38911,0.92471,0.91789,0.95002,0.68718,0.95746,1.3678,1.14052,0.000665756,0.000665756,0.000665756
2,108.733,1.39448,2.5158,1.38911,0.92471,0.91789,0.95002,0.68718,0.95746,1.3678,1.14052,0.000665756,0.000665756,0.000665756
3,92.1779,1.24754,1.48301,1.28223,0.91993,0.94135,0.95614,0.691,0.89924,0.95611,1.12286,0.000665756,0.000665756,0.000665756
4,91.304,1.16257,1.11038,1.23829,0.93376,0.95082,0.96441,0.74703,0.83569,0.62389,1.08061,0.000665756,0.000665756,0.000665756
5,91.6572,1.11978,0.91135,1.2149,0.94697,0.92962,0.96135,0.73233,0.84904,0.63973,1.08272,0.000665756,0.000665756,0.000665756
6,91.2,1.0835,0.80489,1.192,0.9326,0.9333,0.95124,0.71587,0.88186,0.66329,1.09596,0.000665756,0.000665756,0.000665756
7,91.6762,1.03616,0.73487,1.16336,0.95394,0.9111,0.96374,0.73566,0.86582,0.56603,1.07747,0.000665756,0.000665756,0.000665756
8,91.6168,0.99306,0.68658,1.13872,0.94641,0.9322,0.95937,0.72263,0.8945,0.5543,1.11878,0.000665756,0.000665756,0.000665756
9,91.2402,0.98509,0.66147,1.13351,0.85734,0.91789,0.90268,0.67525,0.86099,0.74132,1.1082,0.000665756,0.000665756,0.000665756
10,90.8244,0.93421,0.62151,1.10814,0.90351,0.9611,0.94306,0.70678,0.83938,0.57936,1.0906,0.000665756,0.000665756,0.000665756
11,91.7394,0.91095,0.59428,1.09601,0.91791,0.93255,0.96445,0.72606,0.88971,0.62859,1.10353,0.000665756,0.000665756,0.000665756
12,91.4699,0.89297,0.57752,1.08515,0.92033,0.95894,0.96146,0.69936,0.93304,0.55968,1.11209,0.000665756,0.000665756,0.000665756
13,91.2856,0.87595,0.55874,1.07242,0.95012,0.95601,0.96772,0.73091,0.87651,0.52968,1.09317,0.000665756,0.000665756,0.000665756
14,91.3043,0.82895,0.538,1.05338,0.93824,0.92669,0.94482,0.69836,0.90567,0.54236,1.13816,0.000665756,0.000665756,0.000665756
15,91.4261,0.78077,0.51007,1.02982,0.91224,0.95308,0.94893,0.70407,0.92126,0.55544,1.13344,0.000665756,0.000665756,0.000665756
16,92.0705,0.76589,0.49098,1.02088,0.91917,0.93842,0.93061,0.69677,0.8698,0.5819,1.12104,0.000665756,0.000665756,0.000665756
17,91.5152,0.76413,0.48804,1.01858,0.91316,0.92962,0.94483,0.68826,0.94921,0.57002,1.15357,0.000665756,0.000665756,0.000665756
18,91.508,0.75032,0.48097,1.01236,0.93739,0.95015,0.94603,0.68347,1.00922,0.54786,1.18047,0.000665756,0.000665756,0.000665756
19,92.0078,0.73398,0.47185,1.00565,0.86406,0.93201,0.92084,0.65154,1.0021,0.65449,1.18171,0.000665756,0.000665756,0.000665756
20,90.8502,0.71309,0.46044,0.99595,0.92651,0.91202,0.94189,0.64475,1.08935,0.60205,1.20527,0.000665756,0.000665756,0.000665756
21,91.2929,0.69076,0.4447,0.98365,0.9471,0.94509,0.96471,0.68946,1.03446,0.52339,1.16965,0.000665756,0.000665756,0.000665756
22,92.4788,1.39448,2.5158,1.38911,0.92471,0.91789,0.95002,0.68718,0.95746,1.3678,1.14052,0.000665756,0.000665756,0.000665756
23,91.2812,1.24754,1.48301,1.28223,0.91993,0.94135,0.95614,0.691,0.89924,0.95611,1.12286,0.000665756,0.000665756,0.000665756
24,92.2755,1.16257,1.11038,1.23829,0.93376,0.95082,0.96441,0.74703,0.83569,0.62389,1.08061,0.000665756,0.000665756,0.000665756
25,90.9773,1.11978,0.91135,1.2149,0.94697,0.92962,0.96135,0.73233,0.84904,0.63973,1.08272,0.000665756,0.000665756,0.000665756
26,91.0244,1.0835,0.80489,1.192,0.9326,0.9333,0.95124,0.71587,0.88186,0.66329,1.09596,0.000665756,0.000665756,0.000665756
27,91.1762,1.03616,0.73487,1.16336,0.95394,0.9111,0.96374,0.73566,0.86582,0.56603,1.07747,0.000665756,0.000665756,0.000665756
28,90.8758,0.99306,0.68658,1.13872,0.94641,0.9322,0.95937,0.72263,0.8945,0.5543,1.11878,0.000665756,0.000665756,0.000665756
29,91.1177,0.98509,0.66147,1.13351,0.85734,0.91789,0.90268,0.67525,0.86099,0.74132,1.1082,0.000665756,0.000665756,0.000665756
