path,text
crops_icdar15\train\img_782_000.png,THE
crops_icdar15\train\img_264_044.png,chances:
crops_icdar15\train\img_586_008.png,SPINAL
crops_icdar15\train\img_517_000.png,NEW
crops_icdar15\train\img_156_005.png,TECHNOLOGICAL
crops_icdar15\train\img_355_017.png,Sony
crops_icdar15\train\img_946_000.png,For
crops_icdar15\train\img_930_005.png,LTD
crops_icdar15\train\img_628_008.png,B  ATA
crops_icdar15\train\img_436_007.png,with
crops_icdar15\train\img_517_006.png,$71
crops_icdar15\train\img_194_004.png,Exiting
crops_icdar15\train\img_758_001.png,KASE
crops_icdar15\train\img_668_006.png,COM
crops_icdar15\train\img_642_001.png,SENNHEISER
crops_icdar15\train\img_51_005.png,feedback
crops_icdar15\train\img_240_040.png,INTRODUCUCING...
crops_icdar15\train\img_241_003.png,Egg
crops_icdar15\train\img_18_007.png,285
crops_icdar15\train\img_497_001.png,Public
crops_icdar15\train\img_600_008.png,simple
crops_icdar15\train\img_312_004.png,OFF
crops_icdar15\train\img_274_002.png,AURORA
crops_icdar15\train\img_807_000.png,OFFICINE
crops_icdar15\train\img_461_021.png,QUEST
crops_icdar15\train\img_291_010.png,Classics
crops_icdar15\train\img_712_005.png,THE
crops_icdar15\train\img_586_006.png,chi
crops_icdar15\train\img_182_000.png,STOP
crops_icdar15\train\img_159_041.png,FACE
crops_icdar15\train\img_276_001.png,Champion
crops_icdar15\train\img_874_001.png,SIS
crops_icdar15\train\img_367_001.png,spring
crops_icdar15\train\img_328_002.png,BEGA
crops_icdar15\train\img_562_001.png,Serenity
crops_icdar15\train\img_407_030.png,NEW
crops_icdar15\train\img_610_000.png,Nature
crops_icdar15\train\img_407_012.png,OFF
crops_icdar15\train\img_402_000.png,TOPMAN
crops_icdar15\train\img_849_000.png,Marina
crops_icdar15\train\img_915_003.png,sold
crops_icdar15\train\img_685_001.png,crocs
crops_icdar15\train\img_360_008.png,COMICS
crops_icdar15\train\img_390_006.png,SALE
crops_icdar15\train\img_167_016.png,$10
crops_icdar15\train\img_591_000.png,Calvin
crops_icdar15\train\img_374_004.png,STYLE
